city,name,region,starRating,userRating,numReviews,userRatingInfo,hotelFeatures,originalRate_perNight_totalFare
Jakarta,The Sultan Hotel & Residence Jakarta,"Senayan, Jakarta",5.0,8.6,7247.0,Mengesankan,"Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2541000.0
Jakarta,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",4.0,8.5,4882.0,Mengesankan,"Squash, Area main anak, Tennis, Layanan pijat, Dapur kecil, Pusat kebugaran, Sauna, Bar",2499074.0
Jakarta,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,8.9,467.0,Mengesankan,"Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar",1726267.0
Jakarta,"The Langham, Jakarta","Senayan, Jakarta",5.0,8.8,340.0,Mengesankan,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",10440041.0
Jakarta,"Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,8.7,1540.0,Mengesankan,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",7260000.0
Jakarta,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,8.6,7246.0,Mengesankan,"Layanan pijat, Antar-jemput bandara, Spa, Bar",1752618.0
Jakarta,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,8.6,19249.0,Mengesankan,"Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",2066667.0
Jakarta,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,8.6,2200.0,Mengesankan,"Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran",4878080.0
Jakarta,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",5.0,8.9,369.0,Mengesankan,"Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar",5946747.0
Jakarta,Mercure Convention Center Ancol,"Ancol, Jakarta",4.0,8.4,7570.0,Mengesankan,"Area main anak, Check-out ekspress",4864445.0
Jakarta,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",5.0,8.6,7103.0,Mengesankan,"Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3429334.0
Jakarta,Discovery Ancol,"Ancol, Jakarta",4.0,8.2,5754.0,Nyaman,"Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",2916667.0
Jakarta,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,8.5,3213.0,Mengesankan,"Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1473778.0
Jakarta,Hotel Menara Peninsula,"Slipi, Jakarta",4.0,8.4,9253.0,Mengesankan,"Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",1341333.0
Jakarta,"The Ritz-Carlton Jakarta, Pacific Place Hotel","Senayan, Jakarta",5.0,9.0,483.0,Mengesankan,"Aerobik, Winery, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",10890000.0
Jakarta,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,8.7,2059.0,Mengesankan,"Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar",12503333.0
Jakarta,Century Park Hotel,"Senayan, Jakarta",4.0,8.6,6830.0,Mengesankan,"Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2880000.0
Jakarta,Best Western Premier The Hive,"Cawang, Jakarta",5.0,8.4,11091.0,Mengesankan,"Restoran show cooking, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Perpustakaan, Check-out ekspress, Bar",1511111.0
Jakarta,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,"Tanjung Duren, Jakarta",4.0,8.5,9261.0,Mengesankan,"Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar",1950667.0
Jakarta,DoubleTree by Hilton Jakarta - Diponegoro,"Cikini, Jakarta",5.0,8.8,3244.0,Mengesankan,"Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",4383552.0
Jakarta,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",4425911.0
Jakarta,Millennium Hotel Sirih Jakarta,"Tanah Abang, Jakarta",4.0,8.6,4969.0,Mengesankan,"Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas",1525138.0
Jakarta,Teraskita Hotel Jakarta managed by Dafam,"Cawang, Jakarta",4.0,8.6,9335.0,Mengesankan,"Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar",3233333.0
Jakarta,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8.5,8924.0,Mengesankan,"Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar",1355556.0
Jakarta,Royal Kuningan Hotel,"Rasuna Said, Jakarta",4.0,8.5,6678.0,Mengesankan,"Aksesibel bagi penyandang disabilitas, Check-out ekspress",3420140.0
Jakarta,Manhattan Hotel Jakarta,"Rasuna Said, Jakarta",5.0,8.3,8621.0,Mengesankan,"Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",3628889.0
Jakarta,Swiss-Belinn Simatupang Jakarta,"Lebak Bulus, Jakarta",3.0,8.5,7329.0,Mengesankan,"Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",1302222.0
Jakarta,InterContinental Hotels JAKARTA PONDOK INDAH,"Pondok Indah, Jakarta",5.0,8.9,1455.0,Mengesankan,"Pusat kebugaran, Bar",7276560.0
Jakarta,Grand Tropic Suites Hotel,"Tanjung Duren, Jakarta",4.0,8.0,5554.0,Nyaman,"Tennis meja, Area main anak, Pusat kebugaran, Sauna, Pusat kebugaran",1631111.0
Jakarta,Le Meridien Jakarta,"Sudirman, Jakarta",5.0,8.7,377.0,Mengesankan,"Klub malam, Penitipan anak, Antar-jemput bandara, Sauna, Spa",3226667.0
Jakarta,Gran Melia Jakarta,"Kuningan, Jakarta",5.0,8.8,1759.0,Mengesankan,"Jacuzzi, Klub malam, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",2426258.0
Jakarta,Swiss-Belhotel Pondok Indah,"Pondok Indah, Jakarta",4.0,8.5,4538.0,Mengesankan,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar",1897778.0
Jakarta,Holiday Inn Express JAKARTA PLUIT CITYGATE,"Pluit, Jakarta",3.0,8.4,5158.0,Mengesankan,Pusat kebugaran,1406851.0
Jakarta,Hotel Santika Premiere Slipi Jakarta,"Slipi, Jakarta",4.0,8.6,6308.0,Mengesankan,Aksesibel bagi penyandang disabilitas,1755556.0
Jakarta,Fairmont Jakarta,"Senayan, Jakarta",5.0,8.9,1045.0,Mengesankan,"Penitipan anak, Check-out ekspress",8631333.0
Jakarta,Redtop Hotel & Convention Center,"Pecenongan, Jakarta",4.0,8.5,4209.0,Mengesankan,"Bayar saat Check-in, Restoran show cooking, Bar, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1277317.0
Jakarta,Grand Whiz Poins Simatupang Jakarta,"Lebak Bulus, Jakarta",4.0,8.6,9148.0,Mengesankan,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran",975000.0
Jakarta,Ambhara Hotel,"Melawai, Jakarta",4.0,8.3,4857.0,Mengesankan,Bar,1290667.0
Jakarta,ASTON Pluit Hotel & Residence,"Pluit, Jakarta",4.0,8.3,5915.0,Mengesankan,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",1424373.0
Jakarta,Hotel Gren Alia Jakarta,"Senen, Jakarta",3.0,8.7,2906.0,Mengesankan,Aksesibel bagi penyandang disabilitas,916667.0
Jakarta,Holiday Inn Express JAKARTA WAHID HASYIM,"Kebon Kacang, Jakarta",3.0,8.6,3537.0,Mengesankan,"Tennis, Pusat kebugaran, Bar",2090906.0
Jakarta,ibis Styles Jakarta Airport,"Benda, Jakarta",3.0,8.3,4157.0,Mengesankan,Check-out ekspress,952188.0
Jakarta,Sentral Cawang Hotel,"Cawang, Jakarta",3.0,8.4,7369.0,Mengesankan,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Bar",774000.0
Jakarta,Harris Vertu Hotel Harmoni,"Harmoni, Jakarta",5.0,8.6,3749.0,Mengesankan,"Layanan pijat, Pusat kebugaran, Spa, Bar",1512000.0
Jakarta,Grand Dafam Ancol Jakarta,"Ancol, Jakarta",4.0,8.4,434.0,Mengesankan,"Area main anak, Layanan pijat, Dapur kecil, Pusat kebugaran, Bilyar, Bar di kolam renang, Pusat kebugaran, Bar",2382222.0
Jakarta,Harris Tebet Jakarta,"Manggarai Selatan, Jakarta",4.0,8.5,5101.0,Mengesankan,"Bar, Area main anak, Layanan pijat, Pusat kebugaran, Bilyar, Sauna, Pusat kebugaran, Bar",1348000.0
Jakarta,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",4425911.0
Jakarta,Swiss-Belresidences Kalibata,"Kalibata, Jakarta",4.0,8.6,8523.0,Mengesankan,"Aerobik, Bar, Area main anak, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1215556.0
Jakarta,Grand Mercure Jakarta Kemayoran,"Gunung Sahari, Jakarta",5.0,8.7,3438.0,Mengesankan,"Penitipan anak, Check-out ekspress",2110240.0
Jakarta,"The Ritz-Carlton Jakarta, Mega Kuningan","Kuningan, Jakarta",5.0,8.8,2884.0,Mengesankan,"Restoran show cooking, Ruang santai, Bar, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",4431289.0
Jakarta,ASTON Kartika Grogol Hotel & Conference Center,"Grogol, Jakarta",4.0,8.6,3896.0,Mengesankan,"Layanan pijat, Pusat kebugaran, Spa, Pusat kebugaran, Bar",2379280.0
Jakarta,Swiss-Belhotel Airport Jakarta,"Benda, Jakarta",4.0,8.5,2222.0,Mengesankan,Antar-jemput bandara,1215557.0
Jakarta,Hotel Dharmein,"Melawai, Jakarta",3.0,8.5,3116.0,Mengesankan,"Teras rooftop, Bar",777778.0
Jakarta,Swiss-Belinn Wahid Hasyim,"Kebon Kacang, Jakarta",3.0,8.4,895.0,Mengesankan,"Jemputan stasiun kereta, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Bar",1546667.0
Jakarta,Ra Suites Simatupang,"Cilandak Barat, Jakarta",5.0,8.6,68.0,Mengesankan,"Transportasi ke pusat perbelanjaan, Winery, Jemputan stasiun kereta, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",2166667.0
Jakarta,Shangri-La Jakarta,"Karet Tengsin, Jakarta",5.0,8.9,2262.0,Mengesankan,"Akses ke water park, Toko/pusat belanja, Lapangan tennis outdoor, Bar di kolam renang, Payung pantai, Pusat kebugaran, Bar, OTHER",7093571.0
Jakarta,Grand Mercure Jakarta Harmoni,"Harmoni, Jakarta",5.0,8.6,1627.0,Mengesankan,Check-out ekspress,1870463.0
Jakarta,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",4.0,8.5,4882.0,Mengesankan,"Squash, Area main anak, Tennis, Layanan pijat, Dapur kecil, Pusat kebugaran, Sauna, Bar",3733334.0
Jakarta,The Sultan Hotel & Residence Jakarta,"Senayan, Jakarta",5.0,8.6,7247.0,Mengesankan,"Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2475914.0
Jakarta,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,8.9,467.0,Mengesankan,"Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar",1944066.0
Jakarta,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,8.6,2200.0,Mengesankan,"Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran",5030520.0
Jakarta,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,8.5,3213.0,Mengesankan,"Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1605334.0
Jakarta,Mercure Convention Center Ancol,"Ancol, Jakarta",4.0,8.4,7570.0,Mengesankan,"Area main anak, Check-out ekspress",4819334.0
Jakarta,Discovery Ancol,"Ancol, Jakarta",4.0,8.2,5754.0,Nyaman,"Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",2875000.0
Jakarta,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",5.0,8.6,7103.0,Mengesankan,"Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3544000.0
Jakarta,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,8.6,19249.0,Mengesankan,"Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",2200000.0
Jakarta,Arimbi Pejaten Suites,"Ragunan, Jakarta",3.0,7.9,2234.0,Nyaman,"Bayar saat Check-in, Pusat kebugaran, Pusat kebugaran",582666.0
Jakarta,"The Langham, Jakarta","Senayan, Jakarta",5.0,8.8,340.0,Mengesankan,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",10674862.0
Jakarta,"Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,8.7,1540.0,Mengesankan,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",7421334.0
Jakarta,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,8.7,2059.0,Mengesankan,"Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar",9715090.0
Jakarta,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,8.6,7246.0,Mengesankan,"Layanan pijat, Antar-jemput bandara, Spa, Bar",1900506.0
